ticker,quarter,field,stored,source_value,source_accession,match,class_of_mismatch
ADAM,Q4 2017,eps,0.18,0.21,0001273685-18-000015,no,Q4_EPS_DERIVATION: derived Q4 EPS (NI / derived shares) differs from the reported diluted EPS to common
ADAM,Q4 2017,revenue,15039000.0,40258000.0,0001273685-18-000015,no,DEFINITION_MREIT_REVENUE: store uses net interest income only (note 'revenue basis: net interest income'); release has no total-revenue line (NII + other income = source value)
ADAM,Q4 2017,net_income,30616000.0,30617000.0,0001273685-18-000015,yes,
ADAM,Q4 2017,earnings_release_date,2018-02-20,2018-02-20,0001273685-18-000015,yes,
ADT,Q3 2019,eps,-0.25,-0.25,0001703056-19-000104,yes,
ADT,Q3 2019,revenue,1300570000.0,1301000000.0,0001703056-19-000104,yes,
ADT,Q3 2019,net_income,-181630000.0,-182000000.0,0001703056-19-000104,yes,
ADT,Q3 2019,earnings_release_date,2020-03-06,2019-11-12,0001703056-19-000104,no,"LATE_DATE_NEXT_ANNUAL_SOURCE: quarter dated to the next 10-K / Q4 release, not its own 8-K (conservative; staleness asymmetry)"
AIN,Q4 2018,eps,0.54,0.54,0001157523-19-000289,yes,
AIN,Q4 2018,revenue,250754000.0,251613000.0,0001157523-19-000289,yes,
AIN,Q4 2018,net_income,17591000.0,17591000.0,0001157523-19-000289,yes,
AIN,Q4 2018,earnings_release_date,2019-02-11,2019-02-11,0001157523-19-000289,yes,
ASTE,Q4 2017,eps,0.47,0.47,0000792987-18-000002,yes,
ASTE,Q4 2017,revenue,312375000.0,312375000.0,0000792987-18-000002,yes,
ASTE,Q4 2017,net_income,10922000.0,10922000.0,0000792987-18-000002,yes,
ASTE,Q4 2017,earnings_release_date,2018-02-20,2018-02-20,0000792987-18-000002,yes,
BJRI,Q2 2017,eps,0.44,0.44,0001171843-17-004400,yes,
BJRI,Q2 2017,revenue,265817000.0,265817000.0,0001171843-17-004400,yes,
BJRI,Q2 2017,net_income,9639000.0,9639000.0,0001171843-17-004400,yes,
BJRI,Q2 2017,earnings_release_date,2017-07-27,2017-07-27,0001171843-17-004400,yes,
BMRN,Q1 2019,eps,-0.32,-0.32,0001564590-19-013054,yes,
BMRN,Q1 2019,revenue,400745000.0,400745000.0,0001564590-19-013054,yes,
BMRN,Q1 2019,net_income,-56473000.0,-56473000.0,0001564590-19-013054,yes,
BMRN,Q1 2019,earnings_release_date,2019-04-25,2019-04-25,0001564590-19-013054,yes,
CBSH,Q2 2019,eps,0.96,0.96,0000022356-19-000032,yes,
CBSH,Q2 2019,revenue,338893000.0,338893000.0,0000022356-19-000032,yes,
CBSH,Q2 2019,net_income,107971000.0,107971000.0,0000022356-19-000032,yes,
CBSH,Q2 2019,earnings_release_date,2019-07-16,2019-07-16,0000022356-19-000032,yes,
CLF,Q2 2015,eps,0.39,0.39,0000764065-15-000105,yes,
CLF,Q2 2015,revenue,498100000.0,498100000.0,0000764065-15-000105,yes,
CLF,Q2 2015,net_income,60200000.0,60200000.0,0000764065-15-000105,yes,
CLF,Q2 2015,earnings_release_date,2015-07-29,2015-07-29,0000764065-15-000105,yes,
CNMD,Q3 2015,eps,0.32,0.32,0001174947-15-001533,yes,
CNMD,Q3 2015,revenue,169184000.0,169184000.0,0001174947-15-001533,yes,
CNMD,Q3 2015,net_income,8873000.0,8873000.0,0001174947-15-001533,yes,
CNMD,Q3 2015,earnings_release_date,2015-10-22,2015-10-21,0001174947-15-001533,no,ONE_DAY_LAG_8K_AFTER_DATELINE: 8-K filed the morning after an after-close release (conservative)
CNR,Q1 2017,eps,0.0,,,n/a,PRE_REGISTRATION_QUARTER + EPS_ZERO_PLACEHOLDER: stored EPS 0.0 for a pre-spin carve-out quarter with NI 41.0M; should be null
CNR,Q1 2017,revenue,372221000.0,,,n/a,PRE_REGISTRATION_QUARTER: no contemporaneous filing (carve-out/pre-IPO); stored date is a later filing (conservative)
CNR,Q1 2017,net_income,40981000.0,,,n/a,PRE_REGISTRATION_QUARTER: no contemporaneous filing (carve-out/pre-IPO); stored date is a later filing (conservative)
CNR,Q1 2017,earnings_release_date,2018-02-06,,,n/a,PRE_REGISTRATION_QUARTER: no contemporaneous filing (carve-out/pre-IPO); stored date is a later filing (conservative)
CWEN,Q3 2017,eps,0.3,0.27,0001567683-17-000031,no,"RECAST_NOT_FIRST_REPORTED: store holds the later common-control drop-down recast (from the next 10-K), not the as-first-reported figure"
CWEN,Q3 2017,revenue,269000000.0,265000000.0,0001567683-17-000031,no,"RECAST_NOT_FIRST_REPORTED: store holds the later common-control drop-down recast (from the next 10-K), not the as-first-reported figure"
CWEN,Q3 2017,net_income,30000000.0,29000000.0,0001567683-17-000031,no,"RECAST_NOT_FIRST_REPORTED: store holds the later common-control drop-down recast (from the next 10-K), not the as-first-reported figure"
CWEN,Q3 2017,earnings_release_date,2018-03-01,2017-11-02,0001567683-17-000031,no,"LATE_DATE_NEXT_ANNUAL_SOURCE: quarter dated to the next 10-K / Q4 release, not its own 8-K (conservative; staleness asymmetry)"
DCH,Q2 2017,eps,0.59,0.59,0001062231-17-000043,yes,
DCH,Q2 2017,revenue,1757800000.0,1757800000.0,0001062231-17-000043,yes,
DCH,Q2 2017,net_income,66200000.0,66200000.0,0001062231-17-000043,yes,
DCH,Q2 2017,earnings_release_date,2017-07-28,2017-07-28,0001062231-17-000043,yes,
DLX,Q2 2018,eps,1.25,1.25,0000027996-18-000094,yes,
DLX,Q2 2018,revenue,488244000.0,488200000.0,0000027996-18-000094,yes,
DLX,Q2 2018,net_income,60207000.0,60200000.0,0000027996-18-000094,yes,
DLX,Q2 2018,earnings_release_date,2018-07-26,2018-07-26,0000027996-18-000094,yes,
FLS,Q1 2015,eps,0.2,0.2,0000030625-15-000048,yes,
FLS,Q1 2015,revenue,1014620000.0,1014620000.0,0000030625-15-000048,yes,
FLS,Q1 2015,net_income,27666000.0,27666000.0,0000030625-15-000048,yes,
FLS,Q1 2015,earnings_release_date,2015-04-30,2015-04-30,0000030625-15-000048,yes,
FOUR,Q3 2019,eps,,,,n/a,PRE_REGISTRATION_QUARTER: no contemporaneous filing (carve-out/pre-IPO); stored date is a later filing (conservative)
FOUR,Q3 2019,revenue,193800000.0,,,n/a,PRE_REGISTRATION_QUARTER: no contemporaneous filing (carve-out/pre-IPO); stored date is a later filing (conservative)
FOUR,Q3 2019,net_income,-22600000.0,,,n/a,PRE_REGISTRATION_QUARTER: no contemporaneous filing (carve-out/pre-IPO); stored date is a later filing (conservative)
FOUR,Q3 2019,earnings_release_date,2020-11-05,,,n/a,PRE_REGISTRATION_QUARTER: no contemporaneous filing (carve-out/pre-IPO); stored date is a later filing (conservative)
FRPT,Q4 2017,eps,0.04,0.04,0001564590-18-004373,yes,
FRPT,Q4 2017,revenue,40696512.0,40696512.0,0001564590-18-004373,yes,
FRPT,Q4 2017,net_income,1514893.0,1514894.0,0001564590-18-004373,yes,
FRPT,Q4 2017,earnings_release_date,2018-03-05,2018-03-05,0001564590-18-004373,yes,
GLPI,Q2 2019,eps,0.43,0.43,0001575965-19-000025,yes,
GLPI,Q2 2019,revenue,289013000.0,289013000.0,0001575965-19-000025,yes,
GLPI,Q2 2019,net_income,93033000.0,93033000.0,0001575965-19-000025,yes,
GLPI,Q2 2019,earnings_release_date,2019-08-08,2019-08-07,0001575965-19-000025,no,ONE_DAY_LAG_8K_AFTER_DATELINE: 8-K filed the morning after an after-close release (conservative)
HNI,Q4 2017,eps,0.77,0.77,0000048287-18-000026,yes,
HNI,Q4 2017,revenue,584275000.0,584275000.0,0000048287-18-000026,yes,
HNI,Q4 2017,net_income,33839000.0,33839000.0,0000048287-18-000026,yes,
HNI,Q4 2017,earnings_release_date,2018-02-08,2018-02-08,0000048287-18-000026,yes,
ICHR,Q1 2019,eps,0.07,0.07,0001564590-19-016476,yes,
ICHR,Q1 2019,revenue,137831000.0,137831000.0,0001564590-19-016476,yes,
ICHR,Q1 2019,net_income,1518000.0,1518000.0,0001564590-19-016476,yes,
ICHR,Q1 2019,earnings_release_date,2019-05-07,2019-05-07,0001564590-19-016476,yes,
INDB,Q1 2016,eps,0.71,0.71,0000776901-16-000385,yes,
INDB,Q1 2016,revenue,74046000.0,74046000.0,0000776901-16-000385,yes,
INDB,Q1 2016,net_income,18611000.0,18611000.0,0000776901-16-000385,yes,
INDB,Q1 2016,earnings_release_date,2016-05-05,2016-05-05,0000776901-16-000385,yes,
JBSS,Q1 2018,eps,0.91,0.91,0001193125-17-324974,yes,
JBSS,Q1 2018,revenue,214791000.0,214791000.0,0001193125-17-324974,yes,
JBSS,Q1 2018,net_income,10432000.0,10432000.0,0001193125-17-324974,yes,
JBSS,Q1 2018,earnings_release_date,2018-08-22,2017-10-30,0001193125-17-324974,no,"LATE_DATE_NEXT_ANNUAL_SOURCE: fiscal-year quarters all dated to the FY 10-K date, not their own 8-Ks (conservative; staleness asymmetry)"
JBSS,Q3 2018,eps,0.75,0.75,0001193125-18-150832,yes,
JBSS,Q3 2018,revenue,203181000.0,203181000.0,0001193125-18-150832,yes,
JBSS,Q3 2018,net_income,8631000.0,8631000.0,0001193125-18-150832,yes,
JBSS,Q3 2018,earnings_release_date,2018-08-22,2018-05-03,0001193125-18-150832,no,"LATE_DATE_NEXT_ANNUAL_SOURCE: fiscal-year quarters all dated to the FY 10-K date, not their own 8-Ks (conservative; staleness asymmetry)"
LAZ,Q4 2016,eps,0.96,0.96,0001193125-17-028230,yes,
LAZ,Q4 2016,revenue,705803000.0,705803000.0,0001193125-17-028230,yes,
LAZ,Q4 2016,net_income,127982000.0,127982000.0,0001193125-17-028230,yes,
LAZ,Q4 2016,earnings_release_date,2017-02-02,2017-02-02,0001193125-17-028230,yes,
LZB,Q4 2019,eps,0.03,0.03,0001104659-19-036170,yes,
LZB,Q4 2019,revenue,453791000.0,453800000.0,0001104659-19-036170,yes,
LZB,Q4 2019,net_income,1528000.0,,0001104659-19-036170,n/a,NO_SOURCE_VALUE
LZB,Q4 2019,earnings_release_date,2019-06-18,2019-06-18,0001104659-19-036170,yes,
MBIN,Q3 2018,eps,0.55,0.55,0001104659-18-064650,yes,
MBIN,Q3 2018,revenue,35389000.0,35389000.0,0001104659-18-064650,yes,
MBIN,Q3 2018,net_income,16739000.0,16739000.0,0001104659-18-064650,yes,
MBIN,Q3 2018,earnings_release_date,2018-10-30,2018-10-30,0001104659-18-064650,yes,
MSEX,Q4 2016,eps,0.19,0.19,0001174947-17-000297,yes,
MSEX,Q4 2016,revenue,31808000.0,31808000.0,0001174947-17-000297,yes,
MSEX,Q4 2016,net_income,3220000.0,3220000.0,0001174947-17-000297,yes,
MSEX,Q4 2016,earnings_release_date,2017-03-03,2017-03-03,0001174947-17-000297,yes,
MTSI,Q3 2016,eps,0.13,0.13,0001493594-16-000004,yes,
MTSI,Q3 2016,revenue,142288000.0,142288000.0,0001493594-16-000004,yes,
MTSI,Q3 2016,net_income,22552000.0,22552000.0,0001493594-16-000004,yes,
MTSI,Q3 2016,earnings_release_date,2016-07-26,2016-07-26,0001493594-16-000004,yes,
NMIH,Q1 2016,eps,-0.07,-0.07,0001547903-16-000227,yes,
